Text,Date,Status,Retweet
"RT @j_o_h_n_danger: $TWTR now top holding for Andor, unseating $AAPL http://t.co/vPrx4mUONZ",2015-05-24 03:46:08,602319644234395648,602289862289428480
"RT diggingplatinum RT WWalkerWW: iOS 9 vs. Android M – The New Features By Apple, Google - $AAPL $GOOG $GOOGL … http://t.co/wDYvaxvFtF",2015-05-24 04:17:42,602327586983796737,""
"RT bosocial RT insidermonkey RT j_o_h_n_danger: $TWTR now top holding for Andor, unseating $AAPL … http://t.co/XG5hVFJGig",2015-05-24 04:13:22,602326499534966784,""
"RT @WWalkerWW: iOS 9 vs. Android M – The New Features By Apple, Google - $AAPL $GOOG $GOOGL http://t.co/m3kvHV79b9 via @ValueWalk",2015-05-24 04:08:34,602325288740114432,602310430023929856
RT @seeitmarket: Apple Chart Update: Big Test Looming http://t.co/9iCPQWno9k by @andrewnyquist $AAPL,2015-05-24 04:04:42,602324318903771136,602321480119099392
Free Video: One Day Range Leaders http://t.co/5bkwIDowyv #trading #startups #stock $AAPL #money #investor #angel,2015-05-24 04:00:01,602323139297705984,""
Option Millionaires: golfnara: $AAPL 135.79 http://t.co/O2WU6lQrBu,2015-05-24 03:54:07,602321653645709313,""
"RT @AppleReporter: What to Do When Your #iPhone or #iPad Won’t Turn On
http://t.co/EdXXSVFJem
#Apple $AAPL #iOS #iPhone6 http://t.co/Tdfz1B…",2015-05-24 04:25:29,602329548860993537,601321049624457216
"RT @AppleReporter: Apple Near All-Time High!
Week +2.9% YTD +20.1% 12ME +52.7%
Since Earnings -0.1%
$AAPL $QQQ $XLK #USA #stocks http://t.c…",2015-05-24 04:24:47,602329372083650560,602107736537436160
RT @AmericanBanking: Morgan Stanley Reiterates “Overweight” Rating for Apple $AAPL http://t.co/BL0igGINEI,2015-05-24 04:06:42,602324819342823424,602322516267368448
"RT insidermonkey RT j_o_h_n_danger: $TWTR now top holding for Andor, unseating $AAPL http://t.co/UFfkCnMqtk http://t.co/XG5hVFJGig",2015-05-24 03:58:09,602322668642238464,""
Logging in now to live stock chat http://t.co/ndv5bWOOj4 $GOOG $AAPL $FB $EBAY #options #stocks #daytrading http://t.co/C6EVSTMx0v,2015-05-24 03:45:12,602319408556544000,""
Find active and helpful professional daytraders stock traders here http://t.co/ndv5bWOOj4 $GOOG $AAPL $QQQ http://t.co/Ewzl2B4Ugh,2015-05-24 03:38:18,602317674765484032,""
These Are The 50 Top Hedge Fund Long And Short Positions $AAPL $ACT $FB $DAL $GOOG $T $DIS $IBM $VZ $INTC Also $HNGSF http://t.co/0o987EDueP,2015-05-24 03:09:02,602310306489065472,""
"RT bosocial RT bosocial RT insidermonkey RT j_o_h_n_danger: $TWTR now top holding for Andor, unseating $AAPL … … http://t.co/XG5hVFJGig",2015-05-24 04:28:49,602330384756510720,""
RT bosocial RT stocknugget Helpful video for stock options beginners!! http://t.co/rerBLnafTy $GOOG $AAPL $GOOGL… http://t.co/wDYvaxvFtF,2015-05-24 04:17:41,602327585901645825,""
"RT bosocial RT ferrarigtr RT j_o_h_n_danger: $TWTR now top holding for Andor, unseating $AAPL … http://t.co/XG5hVFJGig",2015-05-24 04:13:24,602326506027786241,""
"RT bosocial RT Petrecson RT j_o_h_n_danger: $TWTR now top holding for Andor, unseating $AAPL … http://t.co/XG5hVFJGig",2015-05-24 04:13:23,602326500625506306,""
Apple Chart Update: Big Test Looming http://t.co/TFcABZLlwp by andrewnyquist $AAPL,2015-05-24 04:11:06,602325927889117186,""
"RT @WWalkerWW: iOS 9 vs. Android M – The New Features By Apple, Google - $AAPL $GOOG $GOOGL http://t.co/LaPmwqPgGn via @ValueWalk #PuntWW",2015-05-24 04:08:33,602325288068980736,602310367826542592
RT @MarketsRecap: These Are The 50 Top Hedge Fund Long And Short Positions $AAPL $ACT $FB $DAL $GOOG $T $DIS $IBM $VZ $INTC Also $HNGSF htt…,2015-05-24 04:08:33,602325287372722176,602310306489065472
